,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
9,Marília,XIII,ASSIS,353550 Paraguaçu Paulista,0,0,6,25,32,120,92,104,120,111,122,128,133,183,96,52,35,1359
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,353560 Paraibuna,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353570 Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,Bauru,XVI,BOTUCATU,353580 Paranapanema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXX,JALES,353590 Paranapuã,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,0,1,9
9,Marília,XIX,MARÍLIA,353600 Parapuã,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,6
6,Bauru,XVI,BOTUCATU,353610 Pardinho,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
12,Registro,XXIII,REGISTRO,353620 Pariquera-Açu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353625 Parisi,0,0,0,0,0,0,2,0,1,1,1,1,3,1,0,1,1,12
8,Franca,XVIII,FRANCA,353630 Patrocínio Paulista,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353640 Paulicéia,0,0,0,5,2,1,4,3,1,5,11,8,0,0,1,0,0,41
7,Campinas,XVII,CAMPINAS,353650 Paulínia,0,0,0,0,2,1,0,1,2,5,17,16,34,70,84,68,57,357
6,Bauru,XV,BAURU,353657 Paulistânia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353660 Paulo de Faria,0,0,0,2,6,12,22,36,27,26,41,45,60,64,59,36,21,457
6,Bauru,XV,BAURU,353670 Pederneiras,1,0,1,6,14,10,13,11,11,14,25,40,41,11,39,87,82,406
7,Campinas,XVII,CAMPINAS,353680 Pedra Bela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXX,JALES,353690 Pedranópolis,0,0,0,0,0,1,0,1,0,2,1,1,4,1,0,3,1,15
8,Franca,XVIII,FRANCA,353700 Pedregulho,0,4,4,0,4,3,7,1,0,1,1,1,0,0,0,0,0,26
7,Campinas,XVII,CAMPINAS,353710 Pedreira,1,0,1,8,13,27,39,36,38,42,111,121,88,92,35,11,1,664
9,Marília,XIII,ASSIS,353715 Pedrinhas Paulista,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4
12,Registro,XXIII,REGISTRO,353720 Pedro de Toledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,Araçatuba,XI,ARAÇATUBA,353730 Penápolis,1,1,1,2,0,5,7,5,10,18,27,46,42,47,36,12,2,262
2,Araçatuba,XI,ARAÇATUBA,353740 Pereira Barreto,31,38,44,78,110,71,65,73,18,13,10,13,12,13,7,8,7,611
6,Bauru,XVI,BOTUCATU,353750 Pereiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Baixada Santista,XXV,SANTOS,353760 Peruíbe,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,5
2,Araçatuba,XI,ARAÇATUBA,353770 Piacatu,0,0,0,0,0,1,0,0,1,0,0,3,4,4,0,0,0,13
16,Sorocaba,XXXI,SOROCABA,353780 Piedade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,353790 Pilar do Sul,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3
17,Taubaté,XXXIII,TAUBATÉ,353800 Pindamonhangaba,0,0,0,1,2,1,2,2,2,8,4,6,5,4,5,6,7,55
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353810 Pindorama,0,0,0,0,0,1,1,3,2,2,0,5,8,7,6,0,0,35
7,Campinas,XVII,CAMPINAS,353820 Pinhalzinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,353830 Piquerobi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Taubaté,XXXIII,TAUBATÉ,353850 Piquete,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1,1,1,10
7,Campinas,XVII,CAMPINAS,353860 Piracaia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
10,Piracicaba,XX,PIRACICABA,353870 Piracicaba,1,1,0,6,5,8,16,14,31,32,37,48,80,84,130,152,110,755
6,Bauru,XVI,BOTUCATU,353880 Piraju,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,2,9
6,Bauru,XV,BAURU,353890 Pirajuí,0,1,1,0,0,0,11,13,7,6,24,17,12,5,4,6,10,117
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353900 Pirangi,0,2,0,3,2,1,0,0,1,0,2,1,3,2,3,1,0,21
1,São Paulo,X,OSASCO,353910 Pirapora do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,353920 Pirapozinho,1,0,1,7,12,6,8,10,4,15,16,17,14,14,20,11,9,165
10,Piracicaba,XX,PIRACICABA,353930 Pirassununga,0,0,0,2,3,6,9,8,6,2,6,13,8,10,17,4,6,100
6,Bauru,XV,BAURU,353940 Piratininga,0,1,4,9,14,32,43,54,25,34,40,34,57,50,37,15,0,449
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,353950 Pitangueiras,0,0,0,1,1,1,1,1,0,0,1,2,1,2,2,0,0,13
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353960 Planalto,0,0,0,0,1,0,0,1,2,1,1,7,12,15,3,0,0,43
9,Marília,XIII,ASSIS,353970 Platina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,VIII,MOGI DAS CRUZES,353980 Poá,0,0,0,0,0,0,0,0,2,0,0,1,4,3,0,2,3,15
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,353990 Poloni,0,0,0,1,2,9,20,6,5,6,11,14,14,10,2,1,0,101
9,Marília,XIX,MARÍLIA,354000 Pompéia,0,0,1,2,4,4,7,12,19,13,27,29,23,19,16,21,10,207
6,Bauru,XV,BAURU,354010 Pongaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354020 Pontal,0,0,0,0,1,0,4,2,2,1,2,2,0,2,2,1,0,19
15,São José do Rio Preto,XXX,JALES,354025 Pontalinda,0,0,0,0,0,0,0,0,0,0,0,3,2,0,9,10,9,33
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354030 Pontes Gestal,0,0,0,0,0,1,4,6,6,3,8,13,6,10,7,6,6,76
15,São José do Rio Preto,XXX,JALES,354040 Populina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,354050 Porangaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,354060 Porto Feliz,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,2,8
3,Araraquara,XII,ARARAQUARA,354070 Porto Ferreira,0,1,1,2,5,2,6,3,7,12,10,5,6,12,6,6,2,86
17,Taubaté,XXXIII,TAUBATÉ,354075 Potim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354080 Potirendaba,0,1,0,1,1,2,3,3,3,5,0,11,5,1,1,0,0,37
9,Marília,XIX,MARÍLIA,354085 Pracinha,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,11,16
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354090 Pradópolis,0,0,0,0,1,0,1,6,1,5,6,10,18,18,34,10,4,114
4,Baixada Santista,XXV,SANTOS,354100 Praia Grande,0,1,0,0,0,1,0,2,1,2,3,6,10,5,1,5,4,41
6,Bauru,XVI,BOTUCATU,354105 Pratânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XV,BAURU,354110 Presidente Alves,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,5
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354120 Presidente Bernardes,0,0,0,1,1,3,8,0,1,4,1,0,0,0,0,0,0,19
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,354130 Presidente Epitácio,9,15,14,20,22,21,9,16,12,5,14,9,4,16,20,8,4,218
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354140 Presidente Prudente,1,0,3,9,7,13,19,15,14,24,21,47,54,72,122,158,140,719
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,354150 Presidente Venceslau,0,2,2,12,12,25,19,18,26,23,59,63,82,76,49,33,12,513
6,Bauru,XV,BAURU,354160 Promissão,0,0,0,2,2,4,11,5,3,10,25,15,17,1,2,4,4,105
16,Sorocaba,XXXI,SOROCABA,354165 Quadra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354170 Quatá,0,0,0,0,1,2,4,13,15,23,39,20,3,10,19,1,6,156
9,Marília,XIX,MARÍLIA,354180 Queiroz,1,0,0,0,0,0,1,1,0,0,0,2,4,0,0,3,2,14
17,Taubaté,XXXIII,TAUBATÉ,354190 Queluz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,354200 Quintana,0,0,0,2,2,6,6,1,4,4,5,3,2,0,0,3,2,40
10,Piracicaba,XX,PIRACICABA,354210 Rafard,0,0,0,0,0,0,2,3,3,3,0,3,1,3,0,2,0,20
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354220 Rancharia,0,0,0,1,0,0,0,0,0,0,2,4,9,6,9,18,9,58
17,Taubaté,XXXIII,TAUBATÉ,354230 Redenção da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354240 Regente Feijó,0,0,0,0,0,0,1,0,0,1,0,5,1,2,3,6,5,24
6,Bauru,XV,BAURU,354250 Reginópolis,0,0,0,2,4,3,16,6,8,8,2,5,4,0,1,0,0,59
12,Registro,XXIII,REGISTRO,354260 Registro,0,0,0,0,0,0,0,0,1,0,3,1,0,0,5,3,1,14
8,Franca,XVIII,FRANCA,354270 Restinga,0,0,0,6,6,6,5,3,1,2,0,0,0,0,0,0,0,29
16,Sorocaba,XXXII,ITAPEVA,354280 Ribeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,354290 Ribeirão Bonito,0,0,0,1,1,2,1,0,4,3,7,9,8,8,5,8,0,57
16,Sorocaba,XXXII,ITAPEVA,354300 Ribeirão Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Franca,XVIII,FRANCA,354310 Ribeirão Corrente,0,1,10,1,16,0,0,0,0,0,0,0,0,0,0,0,0,28
9,Marília,XIII,ASSIS,354320 Ribeirão do Sul,0,0,0,0,0,0,1,0,2,0,1,2,4,1,1,2,1,15
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354323 Ribeirão dos Índios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,354325 Ribeirão Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,VII,SANTO ANDRÉ,354330 Ribeirão Pires,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354340 Ribeirão Preto,17,26,44,70,106,143,111,158,215,219,194,204,248,302,318,332,375,3082
16,Sorocaba,XXXII,ITAPEVA,354350 Riversul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Franca,XVIII,FRANCA,354360 Rifaina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,354370 Rincão,0,1,2,3,14,22,37,36,37,41,36,17,26,33,33,8,8,354
9,Marília,XIX,MARÍLIA,354380 Rinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,11
10,Piracicaba,XX,PIRACICABA,354390 Rio Claro,1,0,0,0,2,0,8,7,9,8,10,16,12,13,36,46,34,202
10,Piracicaba,XX,PIRACICABA,354400 Rio das Pedras,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,1,9
1,São Paulo,VII,SANTO ANDRÉ,354410 Rio Grande da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354420 Riolândia,0,3,0,2,4,1,3,3,7,2,2,19,27,37,44,37,39,230
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,354425 Rosana,6,5,5,5,2,6,2,17,17,6,24,29,24,37,39,40,44,308
17,Taubaté,XXXIII,TAUBATÉ,354430 Roseira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Araçatuba,XI,ARAÇATUBA,354440 Rubiácea,0,0,0,0,0,0,0,0,0,0,1,3,4,1,9,8,4,30
15,São José do Rio Preto,XXX,JALES,354450 Rubinéia,0,0,3,2,3,2,3,1,2,4,2,1,0,0,1,4,0,28
6,Bauru,XV,BAURU,354460 Sabino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,354470 Sagres,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354480 Sales,1,1,0,0,1,2,4,4,12,10,8,15,18,5,3,3,18,105
8,Franca,XVIII,FRANCA,354490 Sales Oliveira,0,0,0,0,10,8,2,5,1,1,0,0,0,0,0,0,0,27
1,São Paulo,VIII,MOGI DAS CRUZES,354500 Salesópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,354510 Salmourão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Piracicaba,XX,PIRACICABA,354515 Saltinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16,Sorocaba,XXXI,SOROCABA,354520 Salto,0,0,0,0,0,0,0,0,0,1,0,3,4,8,11,7,6,40
16,Sorocaba,XXXI,SOROCABA,354530 Salto de Pirapora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,354540 Salto Grande,0,1,0,0,0,0,1,1,2,3,14,7,1,0,1,1,4,36
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354550 Sandovalina,0,0,0,0,0,1,2,1,2,2,2,2,4,3,4,1,1,25
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354560 Santa Adélia,0,0,0,0,0,0,2,0,1,1,4,3,1,3,0,0,0,15
15,São José do Rio Preto,XXX,JALES,354570 Santa Albertina,0,0,0,0,0,0,0,0,0,0,1,2,2,0,7,0,0,12
7,Campinas,XVII,CAMPINAS,354580 Santa Bárbara d'Oeste,2,0,0,3,4,7,8,5,15,27,63,91,164,207,198,49,2,845
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,354600 Santa Branca,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
15,São José do Rio Preto,XXX,JALES,354610 Santa Clara d'Oeste,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,Piracicaba,XX,PIRACICABA,354620 Santa Cruz da Conceição,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,5
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354625 Santa Cruz da Esperança,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,0,11
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,354630 Santa Cruz das Palmeiras,0,1,1,0,0,0,0,0,0,1,0,0,1,0,4,6,4,18
9,Marília,XIII,ASSIS,354640 Santa Cruz do Rio Pardo,0,0,0,0,0,0,3,7,9,11,17,28,13,3,7,31,31,160
3,Araraquara,XII,ARARAQUARA,354650 Santa Ernestina,0,1,0,0,0,1,0,1,0,1,0,1,2,3,10,9,11,40
15,São José do Rio Preto,XXX,JALES,354660 Santa Fé do Sul,0,0,7,12,19,37,30,46,33,45,83,87,95,88,41,2,0,625
10,Piracicaba,XX,PIRACICABA,354670 Santa Gertrudes,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4
1,São Paulo,VIII,MOGI DAS CRUZES,354680 Santa Isabel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,Araraquara,XII,ARARAQUARA,354690 Santa Lúcia,0,0,1,2,2,9,2,4,0,10,11,11,5,12,14,11,4,98
10,Piracicaba,XX,PIRACICABA,354700 Santa Maria da Serra,0,0,0,0,1,0,4,0,1,1,3,7,6,2,8,4,0,37
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,354710 Santa Mercedes,0,0,0,1,1,3,2,1,1,0,0,1,0,0,0,1,2,13
15,São José do Rio Preto,XXX,JALES,354720 Santana da Ponte Pensa,1,2,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,10
1,São Paulo,X,OSASCO,354730 Santana de Parnaíba,0,0,0,0,0,0,0,1,0,1,2,1,1,1,2,1,4,14
15,São José do Rio Preto,XXX,JALES,354740 Santa Rita d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354750 Santa Rita do Passa Quatro,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,6
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354760 Santa Rosa de Viterbo,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
15,São José do Rio Preto,XXX,JALES,354765 Santa Salete,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,1,2,9
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354770 Santo Anastácio,0,0,0,0,1,3,7,3,5,0,2,2,1,5,5,0,1,35
1,São Paulo,VII,SANTO ANDRÉ,354780 Santo André,0,0,0,0,2,2,1,0,5,1,4,9,5,6,4,6,1,46
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,354790 Santo Antônio da Alegria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,354800 Santo Antônio de Posse,0,0,0,1,0,0,0,1,1,3,1,2,0,0,0,0,0,9
2,Araçatuba,XI,ARAÇATUBA,354805 Santo Antônio do Aracanguá,0,2,1,4,3,3,3,3,1,3,4,5,9,2,0,0,0,43
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,354810 Santo Antônio do Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,354820 Santo Antônio do Pinhal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,354830 Santo Expedito,0,0,0,0,0,0,0,0,1,1,0,4,2,0,1,1,1,11
2,Araçatuba,XI,ARAÇATUBA,354840 Santópolis do Aguapeí,0,0,0,0,0,0,2,0,2,2,1,3,3,0,1,0,0,14
4,Baixada Santista,XXV,SANTOS,354850 Santos,0,0,1,1,0,2,6,6,6,6,1,0,3,1,3,3,4,43
17,Taubaté,XXXIII,TAUBATÉ,354860 São Bento do Sapucaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,VII,SANTO ANDRÉ,354870 São Bernardo do Campo,0,0,0,0,0,1,1,7,4,9,6,7,10,4,3,1,1,54
1,São Paulo,VII,SANTO ANDRÉ,354880 São Caetano do Sul,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,5
3,Araraquara,XII,ARARAQUARA,354890 São Carlos,1,1,12,21,28,44,32,52,42,21,28,20,11,17,36,9,1,376
15,São José do Rio Preto,XXX,JALES,354900 São Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,354910 São João da Boa Vista,0,1,1,0,0,2,1,1,1,1,3,2,5,3,7,11,8,47
15,São José do Rio Preto,XXX,JALES,354920 São João das Duas Pontes,0,0,0,2,2,6,6,2,3,2,2,7,0,2,0,0,0,34
15,São José do Rio Preto,XXX,JALES,354925 São João de Iracema,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,354930 São João do Pau d'Alho,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
8,Franca,XVIII,FRANCA,354940 São Joaquim da Barra,283,291,422,624,786,606,462,315,182,148,118,110,79,48,24,0,1,4499
8,Franca,XVIII,FRANCA,354950 São José da Bela Vista,3,3,10,20,13,21,14,9,8,8,0,0,0,0,0,0,0,109
17,Taubaté,XXXIII,TAUBATÉ,354960 São José do Barreiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,354970 São José do Rio Pardo,0,0,1,0,0,0,0,1,2,1,1,2,3,9,9,6,2,37
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,354980 São José do Rio Preto,185,255,396,551,794,957,956,1222,1050,1101,1093,1278,1190,1279,440,379,230,13356
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,354990 São José dos Campos,6,2,6,6,4,10,7,9,8,7,18,14,12,10,13,27,17,176
1,São Paulo,X,OSASCO,354995 São Lourenço da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,355000 São Luís do Paraitinga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,Bauru,XVI,BOTUCATU,355010 São Manuel,0,0,0,0,0,0,1,0,1,4,3,3,2,2,3,0,1,20
16,Sorocaba,XXXI,SOROCABA,355020 São Miguel Arcanjo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,I,CAPITAL,355030 São Paulo,25,25,47,57,76,99,127,179,221,304,427,534,615,791,970,947,1089,6533
10,Piracicaba,XX,PIRACICABA,355040 São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,14,12,48
9,Marília,XIII,ASSIS,355050 São Pedro do Turvo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
16,Sorocaba,XXXI,SOROCABA,355060 São Roque,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Taubaté,XXVIII,CARAGUATATUBA,355070 São Sebastião,0,0,1,0,6,10,7,21,12,6,17,15,26,28,39,46,34,268
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,355080 São Sebastião da Grama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,355090 São Simão,0,0,0,0,0,0,1,0,4,0,3,5,1,3,0,2,1,20
4,Baixada Santista,XXV,SANTOS,355100 São Vicente,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,8
16,Sorocaba,XXXI,SOROCABA,355110 Sarapuí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,355120 Sarutaiá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355130 Sebastianópolis do Sul,0,0,5,3,1,3,1,0,0,0,1,0,0,0,0,0,0,14
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,355140 Serra Azul,0,0,0,0,0,2,2,0,0,1,1,5,32,42,53,40,4,182
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,355150 Serrana,0,0,0,0,0,1,1,5,12,15,51,71,61,13,9,11,12,262
7,Campinas,XVII,CAMPINAS,355160 Serra Negra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,355170 Sertãozinho,0,2,0,0,3,5,4,5,4,6,3,9,5,2,6,2,1,57
12,Registro,XXIII,REGISTRO,355180 Sete Barras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barretos,XIV,BARRETOS,355190 Severínia,0,0,0,1,0,1,3,1,1,2,2,5,3,10,5,3,2,39
17,Taubaté,XXXIII,TAUBATÉ,355200 Silveiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,355210 Socorro,0,0,0,0,0,1,2,0,0,0,1,3,1,0,0,0,0,8
16,Sorocaba,XXXI,SOROCABA,355220 Sorocaba,2,0,3,1,8,9,5,5,17,13,17,59,65,59,54,55,75,447
2,Araçatuba,XI,ARAÇATUBA,355230 Sud Mennucci,0,3,1,9,9,32,50,18,35,32,16,26,30,32,19,6,0,318
7,Campinas,XVII,CAMPINAS,355240 Sumaré,0,0,1,1,5,4,5,17,21,32,51,65,82,117,149,68,49,667
1,São Paulo,VIII,MOGI DAS CRUZES,355250 Suzano,0,0,0,0,1,1,0,1,3,3,7,3,12,18,20,24,31,124
2,Araçatuba,XI,ARAÇATUBA,355255 Suzanápolis,7,15,22,35,21,38,15,14,9,4,13,11,14,25,15,6,3,267
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355260 Tabapuã,0,0,0,0,2,1,3,8,9,8,17,25,33,31,48,55,31,271
3,Araraquara,XII,ARARAQUARA,355270 Tabatinga,0,0,0,0,4,30,26,33,17,11,4,8,2,4,0,2,5,146
1,São Paulo,X,OSASCO,355280 Taboão da Serra,1,0,0,0,0,1,0,1,1,0,1,1,1,2,0,4,4,17
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,355290 Taciba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,355300 Taguaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barretos,XIV,BARRETOS,355310 Taiaçu,0,0,1,0,0,1,4,3,0,1,1,4,2,5,0,0,0,22
5,Barretos,XIV,BARRETOS,355320 Taiúva,0,0,0,0,0,0,2,7,4,1,1,7,11,10,0,1,0,44
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,355330 Tambaú,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355340 Tanabi,0,0,3,0,7,9,5,12,16,8,27,20,5,5,35,42,51,245
16,Sorocaba,XXXI,SOROCABA,355350 Tapiraí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
