SOURCE,TARGET,WEIGHT
73964,2838,2.5833333333333334E-4
16480,2852,2.5833333333333334E-4
29184,2911,2.5833333333333334E-4
25875,2927,2.5833333333333334E-4
3268,2933,0.040356083086053415
56199,2945,0.055944055944055944
77968,2980,0.040356083086053415
72909,3002,2.5833333333333334E-4
15749,3005,2.5833333333333334E-4
99530,3008,2.5833333333333334E-4
48352,3018,2.5833333333333334E-4
46635,3032,2.5833333333333334E-4
54617,3043,2.5833333333333334E-4
23023,3056,2.5833333333333334E-4
74043,3075,2.5833333333333334E-4
11045,3091,2.5833333333333334E-4
52287,3112,0.021505376344086023
64697,3120,2.5833333333333334E-4
40227,3121,2.5833333333333334E-4
30447,3127,2.5833333333333334E-4
54350,3132,2.5833333333333334E-4
28962,3154,2.5833333333333334E-4
71376,3183,2.5833333333333334E-4
36106,3190,2.5833333333333334E-4
7817,3245,2.5833333333333334E-4
49375,3262,2.5833333333333334E-4
56199,3270,2.5833333333333334E-4
25534,3274,2.5833333333333334E-4
94130,3318,2.5833333333333334E-4
43532,3338,2.5833333333333334E-4
47628,3343,2.5833333333333334E-4
92753,3401,0.0055
54188,3416,2.5833333333333334E-4
92450,3447,2.5833333333333334E-4
52459,3454,2.5833333333333334E-4
93003,3485,2.5833333333333334E-4
64696,3503,2.5833333333333334E-4
9247,3504,2.5833333333333334E-4
65758,3505,2.5833333333333334E-4
31031,3529,0.040356083086053415
91017,3530,2.5833333333333334E-4
82846,3542,2.5833333333333334E-4
22814,3557,2.5833333333333334E-4
62241,3560,2.5833333333333334E-4
72456,3571,2.5833333333333334E-4
79576,3584,0.06181818181818182
21412,3625,2.5833333333333334E-4
86705,3647,0.040356083086053415
43532,3648,2.5833333333333334E-4
74009,3669,2.5833333333333334E-4
63726,3673,2.5833333333333334E-4
64697,3690,0.055944055944055944
25875,3766,2.5833333333333334E-4
51923,3767,2.5833333333333334E-4
63726,3813,2.5833333333333334E-4
33113,3815,0.0055
56239,3833,2.5833333333333334E-4
24900,3839,0.021505376344086023
19019,3843,2.5833333333333334E-4
54617,3870,2.5833333333333334E-4
93759,3889,0.055944055944055944
58355,3904,0.0055
5078,3922,2.5833333333333334E-4
54132,3930,2.5833333333333334E-4
47096,4013,2.5833333333333334E-4
10897,4023,0.0055
10897,4040,0.0055
25173,4040,0.0055
83991,4040,0.0055
43050,4041,2.5833333333333334E-4
79163,4055,2.5833333333333334E-4
22814,4103,2.5833333333333334E-4
79163,4116,2.5833333333333334E-4
75636,4152,0.021505376344086023
58934,4159,2.5833333333333334E-4
44493,4165,2.5833333333333334E-4
43050,4176,2.5833333333333334E-4
62754,4213,2.5833333333333334E-4
27550,4217,2.5833333333333334E-4
30447,4219,2.5833333333333334E-4
53376,4223,0.023809523809523808
88415,4241,2.5833333333333334E-4
63726,4242,2.5833333333333334E-4
15749,4249,2.5833333333333334E-4
74043,4253,2.5833333333333334E-4
80911,4282,2.5833333333333334E-4
84704,4293,0.02689075630252101
9247,4323,2.5833333333333334E-4
82263,4336,2.5833333333333334E-4
40227,4383,2.5833333333333334E-4
30586,4406,2.5833333333333334E-4
40151,4426,2.5833333333333334E-4
70413,4429,2.5833333333333334E-4
10788,4436,2.5833333333333334E-4
30447,4463,2.5833333333333334E-4
60837,4466,0.0055
59109,4471,2.5833333333333334E-4
65758,4571,2.5833333333333334E-4
7817,4586,2.5833333333333334E-4
23023,4609,0.0055
49020,4609,0.0055
63726,4634,2.5833333333333334E-4
5455,4656,2.5833333333333334E-4
97435,4669,2.5833333333333334E-4
9247,4693,2.5833333333333334E-4
92450,4736,2.5833333333333334E-4
54617,4742,2.5833333333333334E-4
21412,4757,2.5833333333333334E-4
55726,4765,0.040356083086053415
43876,4770,2.5833333333333334E-4
22814,4777,2.5833333333333334E-4
47096,4779,2.5833333333333334E-4
38709,4799,2.5833333333333334E-4
88265,4857,0.021505376344086023
33113,4858,2.5833333333333334E-4
28003,4867,2.5833333333333334E-4
30447,4891,2.5833333333333334E-4
43532,4905,2.5833333333333334E-4
15749,4918,2.5833333333333334E-4
61143,4945,2.5833333333333334E-4
25576,4966,2.5833333333333334E-4
76550,4973,2.5833333333333334E-4
70413,4980,0.021505376344086023
70554,4998,2.5833333333333334E-4
39711,5036,2.5833333333333334E-4
